corpus,track_id,hallucinated,mode_s_label,lang_id_entropy,length_ratio,cr,content_similarity,kl_score,kl_flag_fixed,kl_flag_calibrated,cer,has_mixed_text,num_speakers
aishell4,0,1,Other,1.553509,6.689655,1.215789,0.084906,4.344813,1,0,2.333333,1,6
aishell4,1,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,1
aishell4,2,0,Other,0.0,0.916667,1.32,0.957447,4.620917,1,0,1.0,1,1
aishell4,3,0,Other,0.0,1.216216,1.336634,0.87037,4.397888,1,0,1.0,1,1
aishell4,4,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,1
aishell4,5,1,Other,0.490342,0.428571,0.928571,0.266667,6.821726,1,1,2.0,1,1
aishell4,6,0,Other,0.0,1.025974,1.519231,0.75,4.765958,1,0,1.0,1,2
aishell4,7,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,1
aishell4,8,0,Other,0.322757,0.708333,0.900901,0.137931,5.84784,1,0,1.0,1,1
aishell4,9,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,1
aishell4,10,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,1
aishell4,11,1,Other,0.563285,136.0,1.354839,0.0,4.832446,1,0,3.0,0,1
aishell4,12,0,Other,0.0,1.0,1.546875,1.0,4.377216,1,0,1.0,1,1
aishell4,13,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,1
aishell4,14,0,Other,0.373609,0.99115,1.371795,0.864407,4.137583,1,0,1.0,1,2
aishell4,15,0,Other,0.0,2.0,0.428571,0.0,10.86612,1,1,1.0,0,2
aishell4,16,0,Other,0.0,201.0,2.02349,0.0,3.484135,1,0,1.0,0,2
aishell4,17,1,Other,0.630778,167.0,1.492401,0.0,4.712896,1,0,1.333333,0,3
aishell4,18,1,Other,1.240671,196.0,1.698462,0.0,5.327614,1,0,1.666667,0,3
aishell4,19,0,Other,0.863121,1.173913,1.327731,0.774194,4.161692,1,0,1.0,1,2
aishell4,20,1,Other,1.298023,115.0,1.254032,0.0,5.251884,1,0,2.0,0,2
aishell4,21,1,Other,0.503258,9.0,0.694444,0.0,9.281157,1,1,1.5,0,2
aishell4,22,1,Mode_S,0.143726,1.020833,1.367925,0.886792,5.360307,1,0,2.0,1,2
aishell4,23,1,Other,1.216316,144.0,1.255814,0.0,4.862052,1,0,3.0,0,2
aishell4,24,0,Other,0.0,3.0,0.5,0.0,10.86612,1,1,1.0,0,2
aishell4,25,1,Other,1.086049,1.087248,1.420732,0.639535,4.562136,1,0,1.5,1,2
aishell4,26,1,Other,1.750916,1.264,1.299383,0.494118,4.650331,1,0,3.5,1,2
aishell4,27,0,Other,0.0,1.014286,1.484321,0.958904,3.733196,1,0,1.0,1,1
aishell4,28,1,Other,0.785235,35.0,0.872093,0.0,6.959229,1,1,2.0,0,3
aishell4,29,0,Other,0.0,0.410959,0.978261,0.26087,6.058765,1,0,1.0,1,2
aishell4,30,1,Mode_S,0.322852,1.026667,1.491639,0.837838,4.712185,1,0,2.0,1,1
aishell4,31,1,Other,1.1635,1.222222,1.050562,0.04,5.779528,1,0,2.5,1,2
aishell4,32,1,Other,1.31639,3.321429,1.29798,0.06383,5.396489,1,0,1.333333,1,3
aishell4,33,1,Other,1.068306,1.630769,1.159292,0.145161,5.267066,1,0,2.666667,1,3
aishell4,34,0,Other,0.0,0.712766,1.415493,0.243902,5.055659,1,0,1.0,1,3
aishell4,35,1,Other,1.265471,49.0,0.918519,0.0,6.308102,1,1,2.0,0,1
aishell4,36,0,Other,0.0,1.094118,1.334928,0.816667,4.323473,1,0,1.0,1,1
aishell4,37,0,Other,0.373609,1.15625,1.384279,0.516667,4.084249,1,0,1.0,1,1
aishell4,38,0,Other,0.0,0.974684,1.228723,0.218182,4.634011,1,0,1.0,1,1
aishell4,39,0,Other,0.0,0.982759,1.14,1.0,5.083038,1,0,1.0,1,1
aishell4,40,0,Other,0.0,0.938462,1.180645,0.069767,4.907344,1,0,1.0,1,1
aishell4,41,1,Other,1.241695,0.857143,0.966102,0.375,5.757595,1,0,1.5,1,2
aishell4,42,1,Other,1.554222,0.72973,0.970874,0.227273,6.281157,1,1,3.0,1,2
aishell4,43,1,Other,1.685816,1.663551,1.583596,0.417582,5.545479,1,0,1.666667,1,3
aishell4,44,0,Other,0.831474,1.029412,1.123596,0.415094,4.761452,1,0,1.0,1,3
aishell4,45,1,Other,1.378783,0.991803,1.008584,0.048387,5.054561,1,0,3.25,1,4
aishell4,46,0,Other,0.0,0.985075,1.2375,0.808511,4.8387,1,0,1.0,1,2
aishell4,47,1,Other,1.090274,118.0,1.162264,0.0,5.119076,1,0,2.0,0,4
aishell4,48,1,Other,1.371283,1.232759,1.186709,0.258427,4.793827,1,0,2.0,1,3
aishell4,49,1,Other,1.360527,127.0,1.354244,0.0,5.060933,1,0,2.0,0,4
aishell4,50,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,2
aishell4,51,1,Other,1.324496,3.311111,1.218954,0.134146,4.787653,1,0,2.0,1,3
aishell4,52,0,Other,0.94566,1.136842,1.367965,0.885246,4.133375,1,0,1.0,1,3
aishell4,53,1,Other,1.080626,89.0,1.07767,0.0,5.527225,1,0,3.0,0,2
aishell4,54,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,2
aishell4,55,1,Other,0.409073,91.0,1.16,0.0,5.377314,1,0,1.333333,0,3
aishell4,56,0,Other,0.0,0.434783,1.094891,0.605263,5.281157,1,0,1.0,1,2
aishell4,57,1,Other,1.183979,76.0,0.987421,0.0,5.696195,1,0,2.0,0,2
aishell4,58,0,Other,0.0,0.952941,1.265625,0.836364,4.534872,1,0,1.0,1,1
aishell4,59,0,Other,0.325552,84.0,1.308108,0.0,4.501414,1,0,1.0,0,2
aishell4,60,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,2
aishell4,61,0,Other,0.0,0.958763,1.285714,0.921875,4.357284,1,0,1.0,1,2
aishell4,62,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,2
aishell4,63,1,Other,1.426068,67.0,0.922535,0.0,5.935382,1,0,3.0,0,2
aishell4,64,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,2
aishell4,65,1,Other,1.313896,154.0,1.413386,0.0,5.254128,1,0,2.666667,0,3
aishell4,66,0,Other,0.0,7.0,0.65625,0.0,8.544192,1,1,1.0,0,3
aishell4,67,0,Other,0.0,2.0,0.428571,0.0,10.86612,1,1,1.0,0,2
aishell4,68,1,Other,1.465538,1.73494,1.197987,0.142857,4.910142,1,0,3.0,1,4
aishell4,69,1,Other,0.967193,1.112069,1.320144,0.589744,4.984078,1,0,1.5,1,2
aishell4,70,1,Other,1.171037,2.358974,1.022624,0.015873,5.406688,1,0,1.666667,1,3
aishell4,71,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,2
aishell4,72,1,Other,1.113908,116.0,1.146341,0.0,5.116749,1,0,1.75,0,4
aishell4,73,1,Other,1.411981,119.0,1.015873,0.0,5.105961,1,0,4.333333,0,3
aishell4,74,1,Other,1.384432,102.0,1.071429,0.0,5.25141,1,0,1.5,0,4
aishell4,75,0,Other,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,2
aishell4,76,1,Other,0.940959,74.0,1.021505,0.0,5.714194,1,0,3.0,0,1
gold,con_001_pro_001_r0.0_sep1,0,Other,0.0,nan,0.803571,nan,3.546111,1,0,0.466667,0,2
gold,con_001_pro_001_r0.0_sep2,0,Other,0.309543,nan,0.852459,nan,3.777455,1,0,0.235294,0,2
gold,con_001_pro_001_r0.05_sep1,0,Other,0.0,nan,0.803571,nan,3.546111,1,0,0.466667,0,2
