sample_id,route,wav_path,backend,model_size,status,runtime_sec,text,error
controlled_route_sensitive_v2_0001,mixed,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_mixed.wav,faster-whisper,base,ok,2.0432,他讓你在那個時間段裡擁有了自己既然你是晚睡晚起,
controlled_route_sensitive_v2_0001,spk1,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_spk1.wav,faster-whisper,base,ok,3.2464,"好,我剛才就在那邊坐一會兒,然後就坐一會兒",
controlled_route_sensitive_v2_0001,spk2,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_spk2.wav,faster-whisper,base,ok,0.4815,,
controlled_route_sensitive_v2_0001,separated,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_spk2.wav,faster-whisper,base,ok,3.7279,"[SPEAKER_1] 好,我剛才就在那邊坐一會兒,然後就坐一會兒
[SPEAKER_2] ",
controlled_route_sensitive_v2_0001,cleaned,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_spk2.wav,faster-whisper,base,ok,3.7279,好我剛才就在那邊坐一會兒然後就坐一會兒,
controlled_route_sensitive_v2_0002,mixed,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_mixed.wav,faster-whisper,base,ok,0.4562,,
controlled_route_sensitive_v2_0002,spk1,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk1.wav,faster-whisper,base,ok,0.4521,哪怕这个自己是一个刷倒音的自己,
controlled_route_sensitive_v2_0002,spk2,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk2.wav,faster-whisper,base,ok,0.4522,意思是2点10点起,
controlled_route_sensitive_v2_0002,separated,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk2.wav,faster-whisper,base,ok,0.9043,"[SPEAKER_1] 哪怕这个自己是一个刷倒音的自己
[SPEAKER_2] 意思是2点10点起",
controlled_route_sensitive_v2_0002,cleaned,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk2.wav,faster-whisper,base,ok,0.9043,哪怕这个自己是一个刷倒音的自己意思是2点10点起,
controlled_route_sensitive_v2_0003,mixed,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0003_mixed.wav,faster-whisper,base,ok,0.549,我那你再抽一集没问题 先不抽一集,
controlled_route_sensitive_v2_0003,spk1,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0003_spk1.wav,faster-whisper,base,ok,0.4605,我这里再稍微解释一下,
controlled_route_sensitive_v2_0003,spk2,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0003_spk2.wav,faster-whisper,base,ok,0.4567,沒問題沒問題先不著急不著急,
