sample_id,tier,overlap_level,strategy,selected_method,decision_rule,mixed_segments_count,separated_segments_count,cleaned_segments_count,mixed_text_length,separated_text_length,cleaned_text_length,text_length_ratio,repetition_count,duplicate_removed_count,mixed_runtime_sec,separated_runtime_sec,cleaned_runtime_sec,runtime_ratio,cleaned_closer_to_mixed,notes
SyntheticNoOverlap_01,SyntheticNoOverlap,0,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,2,2,33,57,57,1.727273,0,0,1.255,0.788,0.788,0.627888,False,Fixed baseline.
SyntheticNoOverlap_01,SyntheticNoOverlap,0,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,2,2,33,57,57,1.727273,0,0,1.255,0.788,0.788,0.627888,False,Fixed baseline.
SyntheticNoOverlap_01,SyntheticNoOverlap,0,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,2,2,33,57,57,1.727273,0,0,1.255,0.788,0.788,0.627888,False,Fixed baseline.
SyntheticNoOverlap_01,SyntheticNoOverlap,0,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,2,2,2,33,57,57,1.727273,0,0,1.255,0.788,0.788,0.627888,False,Oracle upper bound only; not a deployable strategy.
SyntheticNoOverlap_01,SyntheticNoOverlap,0,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,33,57,57,1.727273,0,0,1.255,0.788,0.788,0.627888,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_01,SyntheticNoOverlap,0,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,2,2,33,57,57,1.727273,0,0,1.255,0.788,0.788,0.627888,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_01,SyntheticNoOverlap,0,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,33,57,57,1.727273,0,0,1.255,0.788,0.788,0.627888,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_01,SyntheticNoOverlap,0,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,33,57,57,1.727273,0,0,1.255,0.788,0.788,0.627888,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_01,SyntheticNoOverlap,0,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,2,2,2,33,57,57,1.727273,0,0,1.255,0.788,0.788,0.627888,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_01,SyntheticNoOverlap,0,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,33,57,57,1.727273,0,0,1.255,0.788,0.788,0.627888,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,28,3,30,513,63,17.1,62,25,0.766,4.497,4.497,5.870757,True,Fixed baseline.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,28,3,30,513,63,17.1,62,25,0.766,4.497,4.497,5.870757,True,Fixed baseline.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,28,3,30,513,63,17.1,62,25,0.766,4.497,4.497,5.870757,True,Fixed baseline.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,2,28,3,30,513,63,17.1,62,25,0.766,4.497,4.497,5.870757,True,Oracle upper bound only; not a deployable strategy.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,28,3,30,513,63,17.1,62,25,0.766,4.497,4.497,5.870757,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,28,3,30,513,63,17.1,62,25,0.766,4.497,4.497,5.870757,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,repetition_only,separated_whisper_cleaned,"high repetition_count; cleaned transcript looks closer to mixed, so choose cleaned",2,28,3,30,513,63,17.1,62,25,0.766,4.497,4.497,5.870757,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,removed_count_only,separated_whisper_cleaned,"duplicate removal is high and cleaned is closer to mixed, so choose cleaned",2,28,3,30,513,63,17.1,62,25,0.766,4.497,4.497,5.870757,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,length_plus_repetition,separated_whisper_cleaned,"length inflation or repetition is high and cleaned is closer to mixed, so choose cleaned",2,28,3,30,513,63,17.1,62,25,0.766,4.497,4.497,5.870757,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,v2_full_features,mixed_whisper,overlap_level==0 and repeated hallucinations are high; fall back to mixed_whisper,2,28,3,30,513,63,17.1,62,25,0.766,4.497,4.497,5.870757,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,2,2,17,46,46,2.705882,0,0,0.511,0.729,0.729,1.426614,False,Fixed baseline.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,2,2,17,46,46,2.705882,0,0,0.511,0.729,0.729,1.426614,False,Fixed baseline.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,2,2,17,46,46,2.705882,0,0,0.511,0.729,0.729,1.426614,False,Fixed baseline.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,2,2,2,17,46,46,2.705882,0,0,0.511,0.729,0.729,1.426614,False,Oracle upper bound only; not a deployable strategy.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,17,46,46,2.705882,0,0,0.511,0.729,0.729,1.426614,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,2,2,17,46,46,2.705882,0,0,0.511,0.729,0.729,1.426614,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,17,46,46,2.705882,0,0,0.511,0.729,0.729,1.426614,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,17,46,46,2.705882,0,0,0.511,0.729,0.729,1.426614,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,2,2,2,17,46,46,2.705882,0,0,0.511,0.729,0.729,1.426614,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,17,46,46,2.705882,0,0,0.511,0.729,0.729,1.426614,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,1,2,2,10,43,43,4.3,0,0,0.259,0.527,0.527,2.034749,False,Fixed baseline.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,1,2,2,10,43,43,4.3,0,0,0.259,0.527,0.527,2.034749,False,Fixed baseline.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,1,2,2,10,43,43,4.3,0,0,0.259,0.527,0.527,2.034749,False,Fixed baseline.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,1,2,2,10,43,43,4.3,0,0,0.259,0.527,0.527,2.034749,False,Oracle upper bound only; not a deployable strategy.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",1,2,2,10,43,43,4.3,0,0,0.259,0.527,0.527,2.034749,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,1,2,2,10,43,43,4.3,0,0,0.259,0.527,0.527,2.034749,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",1,2,2,10,43,43,4.3,0,0,0.259,0.527,0.527,2.034749,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",1,2,2,10,43,43,4.3,0,0,0.259,0.527,0.527,2.034749,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,1,2,2,10,43,43,4.3,0,0,0.259,0.527,0.527,2.034749,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,1,2,2,10,43,43,4.3,0,0,0.259,0.527,0.527,2.034749,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,2,2,26,50,50,1.923077,0,0,0.57,0.66,0.66,1.157895,False,Fixed baseline.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,2,2,26,50,50,1.923077,0,0,0.57,0.66,0.66,1.157895,False,Fixed baseline.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,2,2,26,50,50,1.923077,0,0,0.57,0.66,0.66,1.157895,False,Fixed baseline.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,2,2,2,26,50,50,1.923077,0,0,0.57,0.66,0.66,1.157895,False,Oracle upper bound only; not a deployable strategy.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,26,50,50,1.923077,0,0,0.57,0.66,0.66,1.157895,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,2,2,26,50,50,1.923077,0,0,0.57,0.66,0.66,1.157895,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,26,50,50,1.923077,0,0,0.57,0.66,0.66,1.157895,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,26,50,50,1.923077,0,0,0.57,0.66,0.66,1.157895,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,2,2,2,26,50,50,1.923077,0,0,0.57,0.66,0.66,1.157895,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,26,50,50,1.923077,0,0,0.57,0.66,0.66,1.157895,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,3,2,2,32,58,58,1.8125,0,0,0.737,0.803,0.803,1.089552,False,Fixed baseline.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,3,2,2,32,58,58,1.8125,0,0,0.737,0.803,0.803,1.089552,False,Fixed baseline.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,3,2,2,32,58,58,1.8125,0,0,0.737,0.803,0.803,1.089552,False,Fixed baseline.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,3,2,2,32,58,58,1.8125,0,0,0.737,0.803,0.803,1.089552,False,Oracle upper bound only; not a deployable strategy.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,v1_overlap_only,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",3,2,2,32,58,58,1.8125,0,0,0.737,0.803,0.803,1.089552,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,3,2,2,32,58,58,1.8125,0,0,0.737,0.803,0.803,1.089552,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,repetition_only,mixed_whisper,"repetition_count is low; reuse v1 rule (if overlap_level in [1, 2], choose mixed_whisper)",3,2,2,32,58,58,1.8125,0,0,0.737,0.803,0.803,1.089552,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,removed_count_only,mixed_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level in [1, 2], choose mixed_whisper)",3,2,2,32,58,58,1.8125,0,0,0.737,0.803,0.803,1.089552,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,3,2,2,32,58,58,1.8125,0,0,0.737,0.803,0.803,1.089552,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
