case_id,method,speaker_1_cer,speaker_2_cer,speaker_macro_cer,speaker_gap,speaker_1_reference_length,speaker_2_reference_length,speaker_1_hypothesis_length,speaker_2_hypothesis_length,observation
HeavyOverlap,separated_whisper,0.05,0.171642,0.110821,0.121642,140,134,141,134,Speaker-aware CER checks whether the method preserves who said what. Speaker quality is relatively balanced across the two speakers.
HeavyOverlap,separated_whisper_cleaned,0.121429,0.171642,0.146535,0.050213,140,134,131,134,"Speaker-aware CER checks whether the method preserves who said what. Cleaning removed 1 repeated segments, which may reduce hallucinations. Speaker quality is relatively balanced across the two speakers."
LightOverlap,separated_whisper,0.132867,0.255474,0.19417,0.122607,143,137,156,159,Speaker-aware CER checks whether the method preserves who said what. Speaker quality is relatively balanced across the two speakers.
LightOverlap,separated_whisper_cleaned,0.160839,0.109489,0.135164,0.05135,143,137,140,139,"Speaker-aware CER checks whether the method preserves who said what. Cleaning removed 6 repeated segments, which may reduce hallucinations. Speaker quality is relatively balanced across the two speakers."
MidOverlap,separated_whisper,0.041958,0.309859,0.175908,0.267901,143,142,144,157,Speaker-aware CER checks whether the method preserves who said what. Large speaker gap indicates uneven recognition quality between speakers.
MidOverlap,separated_whisper_cleaned,0.111888,0.225352,0.16862,0.113464,143,142,134,136,"Speaker-aware CER checks whether the method preserves who said what. Cleaning removed 4 repeated segments, which may reduce hallucinations. Speaker quality is relatively balanced across the two speakers."
NoOverlap,separated_whisper,0.041958,0.066667,0.054312,0.024709,143,135,144,133,Speaker-aware CER checks whether the method preserves who said what. Speaker quality is relatively balanced across the two speakers.
NoOverlap,separated_whisper_cleaned,0.111888,0.066667,0.089278,0.045221,143,135,134,133,"Speaker-aware CER checks whether the method preserves who said what. Cleaning removed 1 repeated segments, which may reduce hallucinations. Speaker quality is relatively balanced across the two speakers."
OppositeOverlap,separated_whisper,0.021429,0.073529,0.047479,0.0521,140,136,140,134,Speaker-aware CER checks whether the method preserves who said what. Speaker quality is relatively balanced across the two speakers.
OppositeOverlap,separated_whisper_cleaned,0.092857,0.073529,0.083193,0.019328,140,136,130,134,"Speaker-aware CER checks whether the method preserves who said what. Cleaning removed 1 repeated segments, which may reduce hallucinations. Speaker quality is relatively balanced across the two speakers."
