finding_id,short_name,claim,test_category,n,n2,mean_diff,sd_diff,r_value,cohen_d,hedges_g,d_ci_low,d_ci_high,post_hoc_power_alpha05,mde_d_80pct_power,classification,bh_survives,in_bh_family,is_null,raw_p,bh_adj_p,data_source,note
F01,separation_tax_low_overlap,Separation hurts ASR at low overlap (not universally beneficial),one-sample,80,0,-0.614971,2.35875,nan,-0.260719,-0.258236,-0.487008,-0.0344296,0.63442,0.317147,genuinely_small,True,True,False,0.0111261,0.0315239,separation_tax/phase_curve.csv,
F02,gold_benefit_separation,NoOverlap/Heavy/Opposite benefit from separated ASR,paired,3,0,0.303419,0.15621,nan,1.94238,1.10993,-2.27804,6.1628,0.452871,3.09651,underpowered,False,True,False,0.039068,0.0830194,tables/cer_results.csv,n=3 gold cases; underpowered
F03,repetition_hallucination_mechanism,Low-overlap separation tax driven by repetition/insertion hallucination,paired,80,0,4.8875,30.5606,nan,0.159928,0.158405,-0.0640293,0.383886,0.292598,0.317147,genuinely_small,False,True,False,0.0782669,0.114736,separation_tax/phase_curve.csv,
F04,speaker_swap_not_dominant,Speaker swap is not the dominant error source in the 5 gold cases,insufficient,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,insufficient_data,False,False,False,nan,nan,tables/speaker_cer_results.csv,Descriptive error-composition claim; no per-error-count hypothesis test possible
F05,router_v1_fails_synthetic,Overlap-only router v1 fails on synthetic silver validation,paired,25,0,0.268662,1.03101,nan,0.260583,0.252354,-0.159146,0.680311,0.239867,0.584151,genuinely_small,False,True,False,0.102484,0.116148,tables/synthetic_cer_results.csv + synthetic_routing_decisions.csv,
F06,router_v2_improves_synthetic,Feature router v2 improves robustness over v1 on synthetic,paired,25,0,0.183348,1.03876,nan,0.176507,0.170933,-0.239475,0.59249,0.13549,0.584151,genuinely_small,False,True,False,0.193121,0.205191,tables/synthetic_cer_results.csv + routing_decisions_v2.csv,
F07,risk_aware_not_best_cer,"Risk-aware selector is a deployability layer, not the best-CER result",paired,5,0,0.0145456,0.0199176,nan,0.730289,0.584231,-0.667155,2.12773,0.24327,1.66248,underpowered,False,True,False,0.0889058,0.114736,tables/cer_results.csv + risk_aware_selection.csv,"n=5 gold; underpowered, mostly zero regrets"
F08,synthetic_silver_label,"Synthetic benchmarks are silver robustness validation, not gold evaluation",insufficient,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,insufficient_data,False,False,False,nan,nan,docs/project_state.md,Labeling/methodology claim; not an inferential hypothesis
F09,llm_rag_optional,"LLM/RAG is optional future extension, not core quantitative contribution",insufficient,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,insufficient_data,False,False,False,nan,nan,docs/project_state.md,Methodology statement; no quantitative hypothesis to test
F10,compute_cascade_base_better,Base model eliminates the separation tax (base<tiny) in the compute cascade,paired,25,0,0.267202,0.194545,nan,1.37348,1.3301,0.798065,1.94889,0.999998,0.584151,practically_significant,True,True,False,2.10424e-07,1.7886e-06,runtime_cascade/cascade_curve.csv,
F11,noise_robust_gate_cure,Flatness+rel-energy gate recovers the separation-hallucination cure under noise,paired,192,0,0.318648,2.42204,nan,0.131562,0.131045,-0.0114027,0.274527,0.441981,0.203225,genuinely_small,False,True,False,0.034935,0.0830194,noise_robust_gate/gate_curve.csv,
F12,speaker_gate_moderate_babble,Speaker-conditioned gate beats raw separation at moderate babble (5-10 dB),paired,32,0,0.605455,2.54997,nan,0.237436,0.231645,-0.128148,0.603021,0.255741,0.511394,genuinely_small,False,True,False,0.0944885,0.114736,speaker_conditioned_gate/speaker_gate_curve.csv,
F13,gate_selector_falsified,Reference-free gate selector does NOT beat always-speaker (H1 falsified),paired,288,0,0.0922813,1.01797,nan,0.090652,0.0904149,-0.0255671,0.206871,0.335039,0.165648,genuinely_small,False,True,False,0.0625245,0.106292,gate_selector/selector_curve.csv,
