sample_id,tier,overlap_level,selected_method,decision_rule,mixed_segments_count,separated_segments_count,cleaned_segments_count,mixed_text_length,separated_text_length,cleaned_text_length,text_length_ratio,mixed_runtime_sec,separated_runtime_sec,cleaned_runtime_sec,runtime_ratio,duplicate_removed_count,separated_unstable,cleaned_closer_to_mixed,notes
SyntheticNoOverlap_01,SyntheticNoOverlap,0,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,33,57,57,1.727273,1.255,0.788,0.788,0.627888,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,mixed_whisper,overlap_level==0 and repeated hallucinations are high; fall back to mixed_whisper,2,28,3,30,513,63,17.1,0.766,4.497,4.497,5.870757,25,True,True,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,17,46,46,2.705882,0.511,0.729,0.729,1.426614,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,1,2,2,10,43,43,4.3,0.259,0.527,0.527,2.034749,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,26,50,50,1.923077,0.57,0.66,0.66,1.157895,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",3,2,2,32,58,58,1.8125,0.737,0.803,0.803,1.089552,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticLightOverlap_02,SyntheticLightOverlap,1,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",2,2,2,30,45,45,1.5,0.696,0.712,0.712,1.022989,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticLightOverlap_03,SyntheticLightOverlap,1,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",2,2,2,23,46,46,2.0,0.648,0.814,0.814,1.256173,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticLightOverlap_04,SyntheticLightOverlap,1,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",2,2,2,19,43,43,2.263158,0.598,0.636,0.636,1.063545,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticLightOverlap_05,SyntheticLightOverlap,1,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",2,2,2,24,50,50,2.083333,0.644,0.769,0.769,1.194099,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticMidOverlap_01,SyntheticMidOverlap,2,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",2,2,2,31,58,58,1.870968,0.818,1.031,1.031,1.260391,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticMidOverlap_02,SyntheticMidOverlap,2,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",2,2,2,30,51,51,1.7,0.753,0.852,0.852,1.131474,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticMidOverlap_03,SyntheticMidOverlap,2,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",3,2,2,22,41,41,1.863636,0.63,0.654,0.654,1.038095,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticMidOverlap_04,SyntheticMidOverlap,2,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",1,2,2,11,43,43,3.909091,0.347,0.606,0.606,1.746398,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
