sample_id,route,wav_path,backend,model_size,status,runtime_sec,text,error,asr_status,new_asr_run
controlled_route_sensitive_v2_0009,mixed,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_mixed.wav,faster-whisper,base,ok,0.5923,两岁点水只在讲的熬夜嘴的熬夜就是晚睡晚洗是吧,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0009,spk1,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk1.wav,faster-whisper,base,ok,1.0263,這樣會滾滾,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0009,spk2,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk2.wav,faster-whisper,base,ok,0.3893,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0009,separated,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk2.wav,faster-whisper,base,ok,1.4156,"[SPEAKER_1] 這樣會滾滾
[SPEAKER_2] ",,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0009,cleaned,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk2.wav,faster-whisper,base,ok,1.4156,這樣會滾滾,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0020,mixed,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_mixed.wav,faster-whisper,base,ok,2.7215,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0020,spk1,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_spk1.wav,faster-whisper,base,ok,0.4451,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0020,spk2,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_spk2.wav,faster-whisper,base,ok,0.3672,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0020,separated,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_spk2.wav,faster-whisper,base,ok,0.8123,"[SPEAKER_1] 
[SPEAKER_2] ",,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0020,cleaned,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_spk2.wav,faster-whisper,base,ok,0.8123,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0026,mixed,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_mixed.wav,faster-whisper,base,ok,0.8043,出貨身份在獎勢的海外獎勢的海外獎勢的海外獎勢的海外獎勢的海外獎勢的,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0026,spk1,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_spk1.wav,faster-whisper,base,ok,0.4458,其实不落分也是一种样的,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0026,spk2,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_spk2.wav,faster-whisper,base,ok,0.6244,"只在讲熬夜嘴的熬夜就是晚睡晚起,是吧?",,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0026,separated,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_spk2.wav,faster-whisper,base,ok,1.0702,"[SPEAKER_1] 其实不落分也是一种样的
[SPEAKER_2] 只在讲熬夜嘴的熬夜就是晚睡晚起,是吧?",,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0026,cleaned,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_spk2.wav,faster-whisper,base,ok,1.0702,其实不落分也是一种样的只在讲熬夜嘴的熬夜就是晚睡晚起是吧,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0043,mixed,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0043_mixed.wav,faster-whisper,base,ok,0.9302,不太遺志我先描返不帅玩,,existing_faster_whisper_base_reused,False
