pair_id,overlap_ratio,cer,judge_score,cer_before,cer_after,cer_reduction,hallucinated,max_compression_ratio,hyp,repaired
1,0.9,0.1,0.7,0.1,0.6,-0.5,0,0.7317,你下半的時間必定也晚,你下半段时间必定也会很晚
7,0.3,0.230769,1.0,0.230769,0.230769,0.0,0,0.8125,因为你可以为了身体界的方向,因为你可以为了身体的方向
6,0.9,0.333333,0.2,0.333333,0.444444,-0.111111,0,0.7317,因为你可以走睡早就行,因为你可以早点睡觉就行
5,0.6,0.444444,0.6,0.444444,0.444444,0.0,0,0.7105,把揮早起也算不烟了,把吹早起也算不烟了
0,0.9,0.466667,0.2,0.466667,0.466667,0.0,0,0.8136,他讓你在那個時間段裡擁有了自己的,他讓你在那個時間段裡擁有了自己的
5,0.9,0.625,0.2,0.625,0.625,0.0,0,0.766,那既然你是晚上睡完起地地,那既然你是晚上睡后起地地
5,0.6,0.75,0.0,0.75,0.625,0.125,0,0.7907,你先你是晚上睡完 起地地,你先你是晚上睡完起床
6,0.6,0.888889,0.2,0.888889,1.0,-0.111111,0,0.8571,因为你可以不能个人可以吃配的,因为你可以不能，个人可以吃配方
1,0.9,1.090909,0.6,1.090909,1.090909,0.0,1,0.8333,打他這個字是一個發動音的字之外,发他这个字是一个动词的字之外
0,0.0,1.117647,0.2,1.117647,1.235294,-0.117647,1,0.96,他让你在那个时间段里拥有了自己你方是要那他是怎么环节我们的空虚的,他让你在那个时间段里拥有了自己，你方是要那他是怎么方式我们的空虚的心的。
6,0.0,1.222222,0.2,1.222222,1.222222,0.0,1,0.8769,因为你可以找睡走几次我的个人可以吃配的,因为你可以睡不走几次我的个人可以吃配的
2,0.0,1.363636,0.2,1.363636,1.727273,-0.363637,1,0.8308,我忘记你在收一解释看看我多的两个小时,我忘记你在回复解释看看我有没有多余的两个小时
4,0.1,1.454545,0.6,1.454545,0.818182,0.636363,1,0.8514,我觉得玩睡玩起少一样这场时间是一致的没错吧,我觉得这场时间是一致的没错吧
0,0.0,1.6,0.2,1.6,1.8,-0.2,1,0.9505,他讓你在那個時間斷利擁有了自己你方是要那他是怎麼環節我們的空虛擋,他讓你在那個時間斷了對你的忠誠。你方是要那他是怎麼環節我們的空缺？
5,0.3,1.75,0.2,1.75,1.625,0.125,1,0.8852,把废早期也许论你既然你是万税万其地地,废早期也许论你既然你是万税万其地地
7,0.3,1.777778,0.2,1.777778,1.777778,0.0,1,0.8533,因为你可以为了身体界的方向好 我先聊完睡完起,因为你可以为了身体界的目标 我先聊完睡完起。
