sample_id,route,backend,model_size,language,status,runtime_sec,wav_path,transcript_path,text,error,evidence_type,segments
audio_depth_stress_v1_0001,mixed,faster-whisper,base,zh,ok,97.9364,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_mixed.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0001_mixed.json,他讓你在那個時間段裡擁有了自己,,real_whisper_asr,
audio_depth_stress_v1_0001,spk1,faster-whisper,base,zh,ok,0.3164,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk1.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0001_spk1.json,他讓你在那個時間段裡擁有了自己,,real_whisper_asr,
audio_depth_stress_v1_0001,spk2,faster-whisper,base,zh,ok,5.3895,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0001_spk2.json,,,real_whisper_asr,
audio_depth_stress_v1_0001,separated,merge:faster-whisper,base,zh,ok,5.7059,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0001_separated.json,"[SPEAKER_1] 他讓你在那個時間段裡擁有了自己
[SPEAKER_2]",,real_whisper_asr_merged_speakers,[]
audio_depth_stress_v1_0001,cleaned,merge:faster-whisper,base,zh,ok,5.7059,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0001_cleaned.json,他讓你在那個時間段裡擁有了自己,,text_cleanup_from_real_whisper_separated,[]
audio_depth_stress_v1_0002,mixed,faster-whisper,base,zh,ok,0.3307,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_mixed.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0002_mixed.json,哪怕这个自己是一个刷倒音的自己,,real_whisper_asr,
audio_depth_stress_v1_0002,spk1,faster-whisper,base,zh,ok,0.3208,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk1.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0002_spk1.json,哪怕这个自己是一个刷倒音的自己,,real_whisper_asr,
audio_depth_stress_v1_0002,spk2,faster-whisper,base,zh,ok,5.8377,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0002_spk2.json,,,real_whisper_asr,
audio_depth_stress_v1_0002,separated,merge:faster-whisper,base,zh,ok,6.1585,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0002_separated.json,"[SPEAKER_1] 哪怕这个自己是一个刷倒音的自己
[SPEAKER_2]",,real_whisper_asr_merged_speakers,[]
audio_depth_stress_v1_0002,cleaned,merge:faster-whisper,base,zh,ok,6.1585,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0002_cleaned.json,哪怕这个自己是一个刷倒音的自己,,text_cleanup_from_real_whisper_separated,[]
audio_depth_stress_v1_0003,mixed,faster-whisper,base,zh,ok,0.9759,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_mixed.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0003_mixed.json,"喔,我忘了离在稍微解釋一下喔,我忘了离在稍微解釋",,real_whisper_asr,
audio_depth_stress_v1_0003,spk1,faster-whisper,base,zh,ok,0.8795,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk1.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0003_spk1.json,"哦,我忘了离在 show it is哦,我忘了离在 show it is",,real_whisper_asr,
audio_depth_stress_v1_0003,spk2,faster-whisper,base,zh,ok,4.8918,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0003_spk2.json,,,real_whisper_asr,
audio_depth_stress_v1_0003,separated,merge:faster-whisper,base,zh,ok,5.7713,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0003_separated.json,"[SPEAKER_1] 哦,我忘了离在 show it is哦,我忘了离在 show it is
[SPEAKER_2]",,real_whisper_asr_merged_speakers,[]
audio_depth_stress_v1_0003,cleaned,merge:faster-whisper,base,zh,ok,5.7713,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0003_cleaned.json,"哦,我忘了离在showitis哦,我忘了离在showitis",,text_cleanup_from_real_whisper_separated,[]
audio_depth_stress_v1_0004,mixed,faster-whisper,base,zh,ok,0.3548,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_mixed.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0004_mixed.json,其实不落飞机其实不落飞机,,real_whisper_asr,
audio_depth_stress_v1_0004,spk1,faster-whisper,base,zh,ok,0.3524,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_spk1.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0004_spk1.json,其实不落飞机其实不落飞机,,real_whisper_asr,
audio_depth_stress_v1_0004,spk2,faster-whisper,base,zh,ok,6.4271,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0004_spk2.json,,,real_whisper_asr,
audio_depth_stress_v1_0004,separated,merge:faster-whisper,base,zh,ok,6.7795,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0004_separated.json,"[SPEAKER_1] 其实不落飞机其实不落飞机
[SPEAKER_2]",,real_whisper_asr_merged_speakers,[]
audio_depth_stress_v1_0004,cleaned,merge:faster-whisper,base,zh,ok,6.7795,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0004_cleaned.json,其实不落飞机其实不落飞机,,text_cleanup_from_real_whisper_separated,[]
audio_depth_stress_v1_0005,mixed,faster-whisper,base,zh,ok,0.3659,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0005_mixed.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0005_mixed.json,光絕到晚睡晚寫少夜,,real_whisper_asr,
audio_depth_stress_v1_0005,spk1,faster-whisper,base,zh,ok,0.3648,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0005_spk1.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0005_spk1.json,光絕到晚睡晚寫少夜,,real_whisper_asr,
audio_depth_stress_v1_0005,spk2,faster-whisper,base,zh,ok,4.7519,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0005_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0005_spk2.json,,,real_whisper_asr,
audio_depth_stress_v1_0005,separated,merge:faster-whisper,base,zh,ok,5.1167,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0005_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0005_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0005_separated.json,"[SPEAKER_1] 光絕到晚睡晚寫少夜
[SPEAKER_2]",,real_whisper_asr_merged_speakers,[]
audio_depth_stress_v1_0005,cleaned,merge:faster-whisper,base,zh,ok,5.1167,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0005_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0005_spk2.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0005_cleaned.json,光絕到晚睡晚寫少夜,,text_cleanup_from_real_whisper_separated,[]
audio_depth_stress_v1_0006,mixed,faster-whisper,base,zh,ok,1.0512,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0006_mixed.wav,results/transcripts_audio_depth_real_asr/audio_depth_stress_v1_0006_mixed.json,打吹早期也沒完,,real_whisper_asr,
