sample_id,split,candidate_id,mixed_path,spk1_path,spk2_path,reference_path,reference_text,reference_spk1,reference_spk2,overlap_ratio,dominance_type,intended_family,expected_winner,route_stress_transform,reference_type,source_utterance_ids,sample_rate,source_pair_key,source_token_split,source_disjoint_split,benchmark_status,has_route_cer,source_reference_verification_status,mixed_cer,separated_cer,cleaned_cer,oracle_route,oracle_cer,route_gap,all_route_mean_cer
controlled_route_sensitive_v2_0002,train,controlled_route_sensitive_v2_candidate_0002,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0002.json,"[SPEAKER_1] 哪怕自己是刷抖音的自己
[SPEAKER_2] 我的意思是2点睡10点起",哪怕自己是刷抖音的自己,我的意思是2点睡10点起,0.55,balanced,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_002|pro_011,16000,con_002|pro_011,train|train,train,included_source_disjoint,True,candidate_whisper_small,1.0,0.347826,0.347826,separated,0.347826,0.0,0.565217
controlled_route_sensitive_v2_0005,train,controlled_route_sensitive_v2_candidate_0005,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0005_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0005_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0005_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0005.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 跟8点睡6点起午",刚觉得晚睡晚起少夜,跟8点睡6点起午,0.05,balanced,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_005|pro_012,16000,con_005|pro_012,train|train,train,included_source_disjoint,True,candidate_whisper_small,0.117647,0.941176,0.941176,mixed,0.117647,0.823529,0.666666
controlled_route_sensitive_v2_0007,train,controlled_route_sensitive_v2_candidate_0007,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0007_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0007_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0007_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0007.json,"[SPEAKER_1] 因为你可以早睡早起
[SPEAKER_2] 你下班的時間必定也晚",因为你可以早睡早起,你下班的時間必定也晚,0.35,balanced,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_007|pro_008,16000,con_007|pro_008,train|train,train,included_source_disjoint,True,candidate_whisper_small,0.263158,0.368421,0.368421,mixed,0.263158,0.105263,0.333333
controlled_route_sensitive_v2_0013,train,controlled_route_sensitive_v2_candidate_0013,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0013_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0013_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0013_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0013.json,"[SPEAKER_1] 哪怕自己是刷抖音的自己
[SPEAKER_2] 你是怎么多出额外的时间来过自己的生活的",哪怕自己是刷抖音的自己,你是怎么多出额外的时间来过自己的生活的,0.15,speaker_A_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_002|pro_010,16000,con_002|pro_010,train|train,train,included_source_disjoint,True,candidate_whisper_small,0.233333,1.0,1.0,mixed,0.233333,0.766667,0.744444
controlled_route_sensitive_v2_0016,test,controlled_route_sensitive_v2_candidate_0016,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0016_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0016_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0016_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0016.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 我的意思是2点睡10点起",刚觉得晚睡晚起少夜,我的意思是2点睡10点起,0.9,speaker_B_dominant,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_005|pro_011,16000,con_005|pro_011,train|train,train,included_source_disjoint,True,candidate_whisper_small,1.0,1.0,1.0,mixed,1.0,0.0,1.0
controlled_route_sensitive_v2_0018,train,controlled_route_sensitive_v2_candidate_0018,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0018_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0018_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0018_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0018.json,"[SPEAKER_1] 因为你可以早睡早起
[SPEAKER_2] 上班的時間必定也晚",因为你可以早睡早起,上班的時間必定也晚,0.55,speaker_B_dominant,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_007|pro_007,16000,con_007|pro_007,train|train,train,included_source_disjoint,True,candidate_whisper_small,1.0,0.388889,0.388889,separated,0.388889,0.0,0.592593
controlled_route_sensitive_v2_0019,dev,controlled_route_sensitive_v2_candidate_0019,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0019_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0019_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0019_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0019.json,"[SPEAKER_1] 因为你可以为了身体建立方式
[SPEAKER_2] 跟8点睡6点起午",因为你可以为了身体建立方式,跟8点睡6点起午,0.25,speaker_B_dominant,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_008|pro_012,16000,con_008|pro_012,train|train,train,included_source_disjoint,True,candidate_whisper_small,0.52381,0.52381,0.52381,mixed,0.52381,0.0,0.52381
controlled_route_sensitive_v2_0024,train,controlled_route_sensitive_v2_candidate_0024,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0024_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0024_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0024_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0024.json,"[SPEAKER_1] 哪怕自己是刷抖音的自己
[SPEAKER_2] 那你个人的生活空间必定也就这么点",哪怕自己是刷抖音的自己,那你个人的生活空间必定也就这么点,0.5,balanced,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_002|pro_009,16000,con_002|pro_009,train|train,train,included_source_disjoint,True,candidate_whisper_small,1.0,1.0,1.0,mixed,1.0,0.0,1.0
controlled_route_sensitive_v2_0027,train,controlled_route_sensitive_v2_candidate_0027,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0027_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0027_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0027_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0027.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 你是怎么多出额外的时间来过自己的生活的",刚觉得晚睡晚起少夜,你是怎么多出额外的时间来过自己的生活的,0.45,balanced,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_005|pro_010,16000,con_005|pro_010,train|train,train,included_source_disjoint,True,candidate_whisper_small,0.428571,0.285714,0.285714,separated,0.285714,0.0,0.333333
controlled_route_sensitive_v2_0030,train,controlled_route_sensitive_v2_candidate_0030,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0030.json,"[SPEAKER_1] 因为你可以为了身体建立方式
[SPEAKER_2] 我的意思是2点睡10点起",因为你可以为了身体建立方式,我的意思是2点睡10点起,0.85,speaker_A_dominant,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_008|pro_011,16000,con_008|pro_011,train|train,train,included_source_disjoint,True,candidate_whisper_small,1.0,0.32,0.32,separated,0.32,0.0,0.546667
