sample_id,route,backend,model_size,language,status,runtime_sec,wav_path,transcript_path,text,error,evidence_type,segments
audio_depth_stress_v1_0001,mixed,faster-whisper,base,zh,ok,1.8497,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_mixed.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0001_mixed.json,他讓你在那個時間段裡擁有了自己,,real_whisper_asr,
audio_depth_stress_v1_0001,spk1,faster-whisper,base,zh,ok,0.3294,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk1.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0001_spk1.json,他讓你在那個時間段裡擁有了自己,,real_whisper_asr,
audio_depth_stress_v1_0001,spk2,faster-whisper,base,zh,ok,4.7006,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk2.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0001_spk2.json,,,real_whisper_asr,
audio_depth_stress_v1_0001,separated,merge:faster-whisper,base,zh,ok,5.03,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk2.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0001_separated.json,"[SPEAKER_1] 他讓你在那個時間段裡擁有了自己
[SPEAKER_2]",,real_whisper_asr_merged_speakers,[]
audio_depth_stress_v1_0001,cleaned,merge:faster-whisper,base,zh,ok,5.03,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk2.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0001_cleaned.json,他讓你在那個時間段裡擁有了自己,,text_cleanup_from_real_whisper_separated,[]
audio_depth_stress_v1_0002,mixed,faster-whisper,base,zh,ok,0.3446,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_mixed.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0002_mixed.json,哪怕这个自己是一个刷倒音的自己,,real_whisper_asr,
audio_depth_stress_v1_0002,spk1,faster-whisper,base,zh,ok,0.3393,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk1.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0002_spk1.json,哪怕这个自己是一个刷倒音的自己,,real_whisper_asr,
audio_depth_stress_v1_0002,spk2,faster-whisper,base,zh,ok,4.6395,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk2.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0002_spk2.json,,,real_whisper_asr,
audio_depth_stress_v1_0002,separated,merge:faster-whisper,base,zh,ok,4.9788,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk2.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0002_separated.json,"[SPEAKER_1] 哪怕这个自己是一个刷倒音的自己
[SPEAKER_2]",,real_whisper_asr_merged_speakers,[]
audio_depth_stress_v1_0002,cleaned,merge:faster-whisper,base,zh,ok,4.9788,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk2.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0002_cleaned.json,哪怕这个自己是一个刷倒音的自己,,text_cleanup_from_real_whisper_separated,[]
audio_depth_stress_v1_0003,mixed,faster-whisper,base,zh,ok,0.9389,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_mixed.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0003_mixed.json,我忘了离在稍微解釋一下我忘了离在稍微解釋,,real_whisper_asr,
audio_depth_stress_v1_0003,spk1,faster-whisper,base,zh,ok,0.9243,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk1.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0003_spk1.json,哦 哇 这里在终于解释一下哦 哇 这里在终于解释,,real_whisper_asr,
audio_depth_stress_v1_0003,spk2,faster-whisper,base,zh,ok,6.037,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk2.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0003_spk2.json,,,real_whisper_asr,
audio_depth_stress_v1_0003,separated,merge:faster-whisper,base,zh,ok,6.9613,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk2.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0003_separated.json,"[SPEAKER_1] 哦 哇 这里在终于解释一下哦 哇 这里在终于解释
[SPEAKER_2]",,real_whisper_asr_merged_speakers,[]
audio_depth_stress_v1_0003,cleaned,merge:faster-whisper,base,zh,ok,6.9613,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk1.wav|resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk2.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0003_cleaned.json,哦哇这里在终于解释一下哦哇这里在终于解释,,text_cleanup_from_real_whisper_separated,[]
audio_depth_stress_v1_0004,mixed,faster-whisper,base,zh,ok,0.3653,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_mixed.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0004_mixed.json,其实不落飞机其实不落飞机,,real_whisper_asr,
audio_depth_stress_v1_0004,spk1,faster-whisper,base,zh,ok,0.3723,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_spk1.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0004_spk1.json,其实不落飞机其实不落飞机,,real_whisper_asr,
audio_depth_stress_v1_0004,spk2,faster-whisper,base,zh,ok,5.9768,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_spk2.wav,results/transcripts_audio_depth_real_asr/stratified_base_audio_depth_stress_v1_0004_spk2.json,,,real_whisper_asr,
