sample_id,route,wav_path,backend,model_size,status,runtime_sec,text,error
controlled_route_sensitive_v1_0001,mixed,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_mixed.wav,faster-whisper,base,ok,1.6602,"他讓你在那個時間段裡擁有了自己你方是要,那他是怎麼緩解我們的空虛的",
controlled_route_sensitive_v1_0001,spk1,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_spk1.wav,faster-whisper,base,ok,0.3369,他讓你在那個時間段裡擁有了自己,
controlled_route_sensitive_v1_0001,spk2,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_spk2.wav,faster-whisper,base,ok,0.367,"你方是藥,那它是怎么环节我们的空虚的",
controlled_route_sensitive_v1_0001,separated,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_spk1.wav|resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_spk2.wav,faster-whisper,base,ok,0.7039,"[SPEAKER_1] 他讓你在那個時間段裡擁有了自己
[SPEAKER_2] 你方是藥,那它是怎么环节我们的空虚的",
controlled_route_sensitive_v1_0001,cleaned,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_spk1.wav|resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_spk2.wav,faster-whisper,base,ok,0.7039,他讓你在那個時間段裡擁有了自己你方是藥那它是怎么环节我们的空虚的,
controlled_route_sensitive_v1_0002,mixed,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_mixed.wav,faster-whisper,base,ok,0.4107,"哪怕自己是一个刷抖音的自己没问题,先不着急",
controlled_route_sensitive_v1_0002,spk1,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_spk1.wav,faster-whisper,base,ok,0.4066,哪怕自己是一个刷抖音的自己,
controlled_route_sensitive_v1_0002,spk2,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_spk2.wav,faster-whisper,base,ok,0.4828,没问题 没问题 先不着急,
controlled_route_sensitive_v1_0002,separated,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_spk1.wav|resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_spk2.wav,faster-whisper,base,ok,0.8894,"[SPEAKER_1] 哪怕自己是一个刷抖音的自己
[SPEAKER_2] 没问题 没问题 先不着急",
controlled_route_sensitive_v1_0002,cleaned,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_spk1.wav|resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_spk2.wav,faster-whisper,base,ok,0.8894,哪怕自己是一个刷抖音的自己没问题没问题先不着急,
controlled_route_sensitive_v1_0003,mixed,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_mixed.wav,faster-whisper,base,ok,0.6953,我這裡再稍微解釋一下因為有一個前提性的問題沒有討論,
controlled_route_sensitive_v1_0003,spk1,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_spk1.wav,faster-whisper,base,ok,0.5705,我往这里再稍微解释一下,
controlled_route_sensitive_v1_0003,spk2,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_spk2.wav,faster-whisper,base,ok,0.7596,因為有一個前提性的問題沒有討論,
controlled_route_sensitive_v1_0003,separated,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_spk1.wav|resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_spk2.wav,faster-whisper,base,ok,1.3301,"[SPEAKER_1] 我往这里再稍微解释一下
[SPEAKER_2] 因為有一個前提性的問題沒有討論",
controlled_route_sensitive_v1_0003,cleaned,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_spk1.wav|resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_spk2.wav,faster-whisper,base,ok,1.3301,我往这里再稍微解释一下因為有一個前提性的問題沒有討論,
