sample_id,split,mixed_path,spk1_path,spk2_path,reference_path,reference_text,reference_spk1,reference_spk2,overlap_ratio,dominance_type,style,duration,reference_type,mode_status,source_utterance_ids,sample_rate
controlled_route_sensitive_v1_0001,train,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_mixed.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_spk1.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_spk2.wav,resources/controlled_route_sensitive_v1/references/controlled_route_sensitive_v1_0001.json,"[SPEAKER_1] 他让你在那个时间段里拥有了自己
[SPEAKER_2] 你方式要,那它是怎么缓解我们的空虚的",他让你在那个时间段里拥有了自己,"你方式要,那它是怎么缓解我们的空虚的",0.0,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,silver_plus,con_001|pro_001,16000
controlled_route_sensitive_v1_0002,train,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_mixed.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_spk1.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_spk2.wav,resources/controlled_route_sensitive_v1/references/controlled_route_sensitive_v1_0002.json,"[SPEAKER_1] 哪怕自己是刷抖音的自己
[SPEAKER_2] 没问题没问题 先不着急",哪怕自己是刷抖音的自己,没问题没问题 先不着急,0.1,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,silver_plus,con_002|pro_002,16000
controlled_route_sensitive_v1_0003,train,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_mixed.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_spk1.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_spk2.wav,resources/controlled_route_sensitive_v1/references/controlled_route_sensitive_v1_0003.json,"[SPEAKER_1] 我往这里再稍微解释一下
[SPEAKER_2] 因為有一個前提性的問題沒有討論",我往这里再稍微解释一下,因為有一個前提性的問題沒有討論,0.2,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,silver_plus,con_003|pro_003,16000
controlled_route_sensitive_v1_0004,test,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0004_mixed.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0004_spk1.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0004_spk2.wav,resources/controlled_route_sensitive_v1/references/controlled_route_sensitive_v1_0004.json,"[SPEAKER_1] 其实不落分也是一种
[SPEAKER_2] 只在讲的熬夜所谓的熬夜就是晚睡晚起是吧",其实不落分也是一种,只在讲的熬夜所谓的熬夜就是晚睡晚起是吧,0.3,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,silver_plus,con_004|pro_004,16000
controlled_route_sensitive_v1_0005,test,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0005_mixed.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0005_spk1.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0005_spk2.wav,resources/controlled_route_sensitive_v1/references/controlled_route_sensitive_v1_0005.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 好我先聊完 都帅玩起",刚觉得晚睡晚起少夜,好我先聊完 都帅玩起,0.4,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,silver_plus,con_005|pro_005,16000
controlled_route_sensitive_v1_0006,test,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0006_mixed.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0006_spk1.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0006_spk2.wav,resources/controlled_route_sensitive_v1/references/controlled_route_sensitive_v1_0006.json,"[SPEAKER_1] 晚睡早起也算好夜了
[SPEAKER_2] 既然你是晚睡晚起",晚睡早起也算好夜了,既然你是晚睡晚起,0.5,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,silver_plus,con_006|pro_006,16000
controlled_route_sensitive_v1_0007,train,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0007_mixed.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0007_spk1.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0007_spk2.wav,resources/controlled_route_sensitive_v1/references/controlled_route_sensitive_v1_0007.json,"[SPEAKER_1] 因为你可以早睡早起
[SPEAKER_2] 上班的時間必定也晚",因为你可以早睡早起,上班的時間必定也晚,0.6,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,silver_plus,con_007|pro_007,16000
controlled_route_sensitive_v1_0008,train,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0008_mixed.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0008_spk1.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0008_spk2.wav,resources/controlled_route_sensitive_v1/references/controlled_route_sensitive_v1_0008.json,"[SPEAKER_1] 因为你可以为了身体建立方式
[SPEAKER_2] 你下班的時間必定也晚",因为你可以为了身体建立方式,你下班的時間必定也晚,0.7,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,silver_plus,con_008|pro_008,16000
controlled_route_sensitive_v1_0009,test,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0009_mixed.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0009_spk1.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0009_spk2.wav,resources/controlled_route_sensitive_v1/references/controlled_route_sensitive_v1_0009.json,"[SPEAKER_1] 總睡晚睡
[SPEAKER_2] 那你个人的生活空间必定也就这么点",總睡晚睡,那你个人的生活空间必定也就这么点,0.8,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,silver_plus,con_009|pro_009,16000
controlled_route_sensitive_v1_0010,train,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0010_mixed.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0010_spk1.wav,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0010_spk2.wav,resources/controlled_route_sensitive_v1/references/controlled_route_sensitive_v1_0010.json,"[SPEAKER_1] 哦不太一致我可以給你擠我
[SPEAKER_2] 你是怎么多出额外的时间来过自己的生活的",哦不太一致我可以給你擠我,你是怎么多出额外的时间来过自己的生活的,0.0,speaker_B_dominant,clean_turn_taking,short,silver_plus_unverified,silver_plus,con_010|pro_010,16000
