case_id,overlap_level,strategy,selected_method,decision_rule,mixed_segments_count,separated_segments_count,cleaned_segments_count,mixed_text_length,separated_text_length,cleaned_text_length,text_length_ratio,repetition_count,duplicate_removed_count,mixed_runtime_sec,separated_runtime_sec,cleaned_runtime_sec,runtime_ratio,cleaned_closer_to_mixed,notes
HeavyOverlap,3,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,24,26,25,250,617,594,2.468,0,1,4.368,5.168,5.168,1.18315,True,Fixed baseline.
HeavyOverlap,3,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,24,26,25,250,617,594,2.468,0,1,4.368,5.168,5.168,1.18315,True,Fixed baseline.
HeavyOverlap,3,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,24,26,25,250,617,594,2.468,0,1,4.368,5.168,5.168,1.18315,True,Fixed baseline.
HeavyOverlap,3,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,24,26,25,250,617,594,2.468,0,1,4.368,5.168,5.168,1.18315,True,Oracle upper bound only; not a deployable strategy.
HeavyOverlap,3,v1_overlap_only,separated_whisper,"if overlap_level >= 3, choose separated_whisper",24,26,25,250,617,594,2.468,0,1,4.368,5.168,5.168,1.18315,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
HeavyOverlap,3,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,24,26,25,250,617,594,2.468,0,1,4.368,5.168,5.168,1.18315,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
HeavyOverlap,3,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level >= 3, choose separated_whisper)",24,26,25,250,617,594,2.468,0,1,4.368,5.168,5.168,1.18315,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
HeavyOverlap,3,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level >= 3, choose separated_whisper)",24,26,25,250,617,594,2.468,0,1,4.368,5.168,5.168,1.18315,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
HeavyOverlap,3,length_plus_repetition,separated_whisper_cleaned,"length inflation or repetition is high and cleaned is closer to mixed, so choose cleaned",24,26,25,250,617,594,2.468,0,1,4.368,5.168,5.168,1.18315,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
HeavyOverlap,3,v2_full_features,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,24,26,25,250,617,594,2.468,0,1,4.368,5.168,5.168,1.18315,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
