sample_id,split,candidate_id,mixed_path,spk1_path,spk2_path,reference_path,reference_text,reference_spk1,reference_spk2,overlap_ratio,dominance_type,intended_family,expected_winner,route_stress_transform,reference_type,source_utterance_ids,sample_rate
controlled_route_sensitive_v2_0001,dev,controlled_route_sensitive_v2_candidate_0001,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0001.json,"[SPEAKER_1] 他让你在那个时间段里拥有了自己
[SPEAKER_2] 既然你是晚睡晚起",他让你在那个时间段里拥有了自己,既然你是晚睡晚起,0.0,balanced,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_001|pro_006,16000
controlled_route_sensitive_v2_0002,train,controlled_route_sensitive_v2_candidate_0002,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0002.json,"[SPEAKER_1] 哪怕自己是刷抖音的自己
[SPEAKER_2] 我的意思是2点睡10点起",哪怕自己是刷抖音的自己,我的意思是2点睡10点起,0.55,balanced,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_002|pro_011,16000
controlled_route_sensitive_v2_0003,train,controlled_route_sensitive_v2_candidate_0003,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0003_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0003_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0003_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0003.json,"[SPEAKER_1] 我往这里再稍微解释一下
[SPEAKER_2] 没问题没问题 先不着急",我往这里再稍微解释一下,没问题没问题 先不着急,0.25,balanced,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_003|pro_002,16000
controlled_route_sensitive_v2_0004,dev,controlled_route_sensitive_v2_candidate_0004,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0004_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0004_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0004_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0004.json,"[SPEAKER_1] 其实不落分也是一种
[SPEAKER_2] 上班的時間必定也晚",其实不落分也是一种,上班的時間必定也晚,0.3,balanced,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_004|pro_007,16000
controlled_route_sensitive_v2_0005,train,controlled_route_sensitive_v2_candidate_0005,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0005_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0005_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0005_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0005.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 跟8点睡6点起午",刚觉得晚睡晚起少夜,跟8点睡6点起午,0.05,balanced,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_005|pro_012,16000
controlled_route_sensitive_v2_0006,train,controlled_route_sensitive_v2_candidate_0006,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0006_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0006_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0006_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0006.json,"[SPEAKER_1] 晚睡早起也算好夜了
[SPEAKER_2] 因為有一個前提性的問題沒有討論",晚睡早起也算好夜了,因為有一個前提性的問題沒有討論,0.65,balanced,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_006|pro_003,16000
controlled_route_sensitive_v2_0007,train,controlled_route_sensitive_v2_candidate_0007,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0007_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0007_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0007_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0007.json,"[SPEAKER_1] 因为你可以早睡早起
[SPEAKER_2] 你下班的時間必定也晚",因为你可以早睡早起,你下班的時間必定也晚,0.35,balanced,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_007|pro_008,16000
controlled_route_sensitive_v2_0008,dev,controlled_route_sensitive_v2_candidate_0008,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0008_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0008_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0008_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0008.json,"[SPEAKER_1] 因为你可以为了身体建立方式
[SPEAKER_2] 我的个人可以支配的",因为你可以为了身体建立方式,我的个人可以支配的,0.5,speaker_A_dominant,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_008|pro_013,16000
controlled_route_sensitive_v2_0009,train,controlled_route_sensitive_v2_candidate_0009,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0009.json,"[SPEAKER_1] 總睡晚睡
[SPEAKER_2] 只在讲的熬夜所谓的熬夜就是晚睡晚起是吧",總睡晚睡,只在讲的熬夜所谓的熬夜就是晚睡晚起是吧,0.1,speaker_A_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_009|pro_004,16000
controlled_route_sensitive_v2_0010,dev,controlled_route_sensitive_v2_candidate_0010,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0010_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0010_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0010_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0010.json,"[SPEAKER_1] 哦不太一致我可以給你擠我
[SPEAKER_2] 那你个人的生活空间必定也就这么点",哦不太一致我可以給你擠我,那你个人的生活空间必定也就这么点,0.75,speaker_A_dominant,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_010|pro_009,16000
